"year","name","country","time","time_seconds"
2025,"John Korir","Kenya","2:04:45",7485
2024,"Sisay Lemma","Ethiopia","2:06:17",7577
2023,"Evans Chebet","Kenya","2:05:54",7554
2022,"Evans Chebet","Kenya","2:06:51",7611
2021,"Benson Kipruto","Kenya","2:09:51",7791
2019,"Lawrence Cherono","Kenya","2:07:57",7677
2018,"Yuki Kawauchi","Japan","2:15:58",8158
2017,"Geoffrey Kirui","Kenya","2:09:37",7777
2016,"Lemi Berhanu","Ethiopia","2:12:45",7965
2015,"Lelisa Desisa","Ethiopia","2:09:17",7757
2014,"Mebrahtom “Meb” Keflezighi","United States","2:08:37",7717
2013,"Lelisa Desisa","Ethiopia","2:10:22",7822
2012,"Wesley Korir","Kenya","2:12:40",7960
2011,"Geoffrey Mutai","Kenya","2:03:02*",7382
2010,"Robert Kiprono Cheruiyot","Kenya","2:05:52",7552
2009,"Deriba Merga","Ethiopia","2:08:42",7722
2008,"Robert Kipkoech Cheruiyot","Kenya","2:07:46",7666
2007,"Robert Kipkoech Cheruiyot","Kenya","2:14:13",8053
2006,"Robert Kipkoech Cheruiyot","Kenya","2:07:14",7634
2005,"Hailu Negussie","Ethiopia","2:11:45",7905
2004,"Timothy Cherigat","Kenya","2:10:37",7837
2003,"Robert Kipkoech Cheruiyot","Kenya","2:10:11",7811
2002,"Rodgers Rop","Kenya","2:09:02",7742
2001,"Lee Bong-Ju","South Korea","2:09:43",7783
2000,"Elijah Lagat","Kenya","2:09:47",7787
1999,"Joseph Chebet","Kenya","2:09:52",7792
1998,"Moses Tanui","Kenya","2:07:34",7654
1997,"Lameck Aguta","Kenya","2:10:34",7834
1996,"Moses Tanui","Kenya","2:09:15",7755
1995,"Cosmas Ndeti","Kenya","2:09:22",7762
1994,"Cosmas Ndeti","Kenya","2:07:15",7635
1993,"Cosmas Ndeti","Kenya","2:09:33",7773
1992,"Ibrahim Hussein","Kenya","2:08:14",7694
1991,"Ibrahim Hussein","Kenya","2:11:06",7866
