player,team,x2024_25,win_pct
Stephen Curry,Warriors,55761217,0.585
Nikola Jokic,Nuggets,51415938,0.61
Joel Embiid,76ers,51415938,0.293
Kevin Durant,Suns,51179020,0.439
Bradley Beal,Suns,50203930,0.439
K. Towns,Knicks,49205800,0.622
Paul George,76ers,49205800,0.293
Kawhi Leonard,Clippers,49205800,0.61
Jaylen Brown,Celtics,49205800,0.744
Devin Booker,Suns,49205800,0.439
Jimmy Butler,Warriors,48798677,0.585
Damian Lillard,Bucks,48787676,0.585
G. Antetokounmpo,Bucks,48787676,0.585
LeBron James,Lakers,48728845,0.61
Zach LaVine,Kings,44531940,0.488
Rudy Gobert,Timberwolves,43827586,0.598
Anthony Davis,Mavericks,43219440,0.476
Luka Doncic,Lakers,43031940,0.61
Trae Young,Hawks,43031940,0.488
Fred VanVleet,Rockets,42846615,0.634
Pascal Siakam,Pacers,42176400,0.61
Lauri Markkanen,Jazz,42176400,0.207
T. Haliburton,Pacers,42176400,0.61
Anthony Edwards,Timberwolves,42176400,0.598
Kyrie Irving,Mavericks,40000000,0.476
Ben Simmons,Nets,39256083,0.317
Domantas Sabonis,Kings,39200000,0.488
Zion Williamson,Pelicans,36725670,0.256
Ja Morant,Grizzlies,36725670,0.585
Darius Garland,Cavaliers,36725670,0.78
OG Anunoby,Knicks,36637932,0.622
Brandon Ingram,Raptors,36016200,0.366
Jamal Murray,Nuggets,36016200,0.61
S. Gilgeous-Alexander,Thunder,35859950,0.829
Michael Porter,Nuggets,35859950,0.61
Donovan Mitchell,Cavaliers,35410310,0.78
LaMelo Ball,Hornets,35147000,0.232
Tyrese Maxey,76ers,35147000,0.293
De'Aaron Fox,Spurs,34848340,0.415
Jayson Tatum,Celtics,34848340,0.744
Bam Adebayo,Heat,34848340,0.451
Desmond Bane,Grizzlies,34005250,0.585
Deandre Ayton,Trail Blazers,34005126,0.439
James Harden,Clippers,33653846,0.61
CJ McCollum,Pelicans,33333333,0.256
Julius Randle,Timberwolves,33073920,0.598
I. Quickley,Raptors,32500000,0.366
Khris Middleton,Wizards,31000000,0.22
I. Hartenstein,Thunder,30000000,0.829
Jrue Holiday,Celtics,30000000,0.744
Jerami Grant,Trail Blazers,29793104,0.439
Jordan Poole,Wizards,29651786,0.22
Devin Vassell,Spurs,29347826,0.415
K. Porzingis,Celtics,29268293,0.744
Tyler Herro,Heat,29000000,0.451
Dejounte Murray,Pelicans,28817135,0.256
Jonathan Isaac,Magic,27600000,0.5
Nicolas Claxton,Nets,27556817,0.317
Miles Bridges,Hornets,27173913,0.232
John Collins,Jazz,26580000,0.207
Andrew Wiggins,Heat,26276786,0.451
Anfernee Simons,Trail Blazers,25892857,0.439
RJ Barrett,Raptors,25794643,0.366
Tobias Harris,Pistons,25365854,0.537
Jaren Jackson Jr,Grizzlies,25257798,0.585
Jalen Brunson,Knicks,24960001,0.622
Terry Rozier,Heat,24924126,0.451
Kyle Kuzma,Bucks,24456060,0.585
Draymond Green,Warriors,24107143,0.585
DeMar DeRozan,Kings,23400000,0.488
Mikal Bridges,Knicks,23300000,0.622
Dillon Brooks,Rockets,23255493,0.634
Cameron Johnson,Nets,23062500,0.317
Bruce Brown,Pelicans,23000000,0.256
Brook Lopez,Bucks,23000000,0.585
Aaron Gordon,Nuggets,22841455,0.61
K. Caldwell-Pope,Magic,22757000,0.5
Jaden McDaniels,Timberwolves,22586207,0.598
Malcolm Brogdon,Wizards,22500000,0.22
Clint Capela,Hawks,22265280,0.488
De'Andre Hunter,Cavaliers,21696429,0.78
Lonzo Ball,Bulls,21395348,0.476
Marcus Smart,Wizards,20210285,0.22
Nikola Vucevic,Bulls,20000000,0.476
Jarrett Allen,Cavaliers,20000000,0.78
Myles Turner,Pacers,19928500,0.61
Derrick White,Celtics,19821429,0.744
Jakob Poeltl,Raptors,19500000,0.366
Duncan Robinson,Heat,19406000,0.451
Norman Powell,Clippers,19241379,0.61
Bojan Bogdanovic,Nets,19032850,0.317
Keldon Johnson,Spurs,19000000,0.415
D'Angelo Russell,Nets,18692307,0.317
Collin Sexton,Jazz,18150000,0.207
Josh Hart,Knicks,18144000,0.622
Jusuf Nurkic,Hornets,18125000,0.232
Harrison Barnes,Spurs,18000000,0.415
Patrick Williams,Bulls,18000000,0.476
Malik Monk,Kings,17405203,0.488
B. Bogdanovic,Clippers,17260000,0.61
Rui Hachimura,Lakers,17000000,0.61
Luguentz Dort,Thunder,17000000,0.829
Kevin Huerter,Bulls,16830357,0.476
Zach Collins,Bulls,16741200,0.476
Caris LeVert,Hawks,16615384,0.488
Tim Hardaway Jr,Pistons,16193183,0.537
Klay Thompson,Mavericks,15873016,0.476
Deni Avdija,Trail Blazers,15625000,0.439
Grayson Allen,Suns,15625000,0.439
PJ Washington,Mavericks,15500000,0.476
Max Strus,Cavaliers,15212068,0.78
Isaiah Stewart,Pistons,15000000,0.537
D. Finney-Smith,Lakers,14924167,0.61
M. Robinson,Knicks,14318182,0.622
Jordan Clarkson,Jazz,14092577,0.207
Onyeka Okongwu,Hawks,14000000,0.488
Naz Reid,Timberwolves,13986432,0.598
Cade Cunningham,Pistons,13940809,0.537
Daniel Gafford,Mavericks,13394160,0.476
Dennis Schroeder,Pistons,13025250,0.537
Grant Williams,Hornets,13025250,0.232
Isaiah Joe,Thunder,12991650,0.829
Herb Jones,Pelicans,12976362,0.256
Austin Reaves,Lakers,12976362,0.61
Obi Toppin,Pacers,12975000,0.61
Cole Anthony,Magic,12900000,0.5
D. Melton,Nets,12822000,0.317
Kelly Olynyk,Pelicans,12804878,0.256
V. Wembanyama,Spurs,12768664,0.415
Josh Green,Hornets,12654321,0.232
Richaun Holmes,Wizards,12648321,0.22
Steven Adams,Rockets,12600000,0.634
Bobby Portis,Bucks,12578286,0.585
Z. Risacher,Hawks,12569040,0.488
Marvin Bagley,Grizzlies,12500000,0.585
Brandon Clarke,Grizzlies,12500000,0.585
Jalen Green,Rockets,12483048,0.634
Robert Williams,Trail Blazers,12428571,0.439
Paolo Banchero,Magic,12160800,0.5
Coby White,Bulls,12000000,0.476
Wendell Carter,Magic,11950000,0.5
Ivica Zubac,Clippers,11743210,0.61
PJ Tucker,Raptors,11539000,0.366
Donte DiVincenzo,Timberwolves,11445000,0.598
Brandon Miller,Hornets,11424382,0.232
Terance Mann,Hawks,11423077,0.488
Alex Sarr,Wizards,11245680,0.22
Evan Mobley,Cavaliers,11227657,0.78
Larry Nance Jr,Hawks,11205000,0.488
Matisse Thybulle,Trail Blazers,11025000,0.439
Maxi Kleber,Lakers,11000000,0.61
Moritz Wagner,Magic,11000000,0.5
Gabe Vincent,Lakers,11000000,0.61
Aaron Nesmith,Pacers,11000000,0.61
Chris Paul,Spurs,10983000,0.415
Aaron Wiggins,Thunder,10981303,0.829
Chet Holmgren,Thunder,10880640,0.829
Chris Boucher,Raptors,10810000,0.366
J. Vanderbilt,Lakers,10714286,0.61
Scoot Henderson,Trail Blazers,10259449,0.439
Isaac Okoro,Cavaliers,10185186,0.78
Scottie Barnes,Raptors,10130980,0.366
Reed Sheppard,Rockets,10098960,0.634
Mike Conley,Timberwolves,9975962,0.598
J. Valanciunas,Kings,9900000,0.488
Alex Caruso,Thunder,9890000,0.829
Jabari Smith,Rockets,9770880,0.634
Derrick Jones,Clippers,9523810,0.61
TJ McConnell,Pacers,9500000,0.61
Al Horford,Celtics,9500000,0.744
Pat Connaughton,Bucks,9423869,0.585
Royce O'Neale,Suns,9375000,0.439
Luke Kennard,Grizzlies,9250000,0.585
Amen Thompson,Rockets,9249748,0.634
Jalen Suggs,Magic,9188385,0.5
Caleb Martin,Mavericks,9186594,0.476
Gary Payton II,Warriors,9130000,0.585
Stephon Castle,Spurs,9105120,0.415
Tre Jones,Bulls,9104167,0.476
Goga Bitadze,Magic,9057971,0.5
Zeke Nnaji,Nuggets,8888889,0.61
Keegan Murray,Kings,8809560,0.488
Kyle Anderson,Heat,8780488,0.451
Buddy Hield,Warriors,8780488,0.585
Jalen Smith,Bulls,8571429,0.476
Naji Marshall,Mavericks,8571429,0.476
Georges Niang,Hawks,8500000,0.488
Ausar Thompson,Pistons,8376291,0.537
Josh Giddey,Bulls,8352367,0.476
Josh Okogie,Hornets,8250000,0.232
Ron Holland,Pistons,8245320,0.537
Cody Martin,Suns,8120000,0.439
Trey Lyles,Kings,8000000,0.488
