player,team,x2025_26
Stephen Curry,Warriors,59606817
Nikola Jokic,Nuggets,55224526
Joel Embiid,76ers,55224526
Kevin Durant,Rockets,54708608
Jimmy Butler,Warriors,54126450
Anthony Davis,Mavericks,54126450
Jayson Tatum,Celtics,54126450
G. Antetokounmpo,Bucks,54126450
K. Towns,Knicks,53142264
Jaylen Brown,Celtics,53142264
Devin Booker,Suns,53142264
LeBron James,Lakers,52627153
Paul George,76ers,51666090
Kawhi Leonard,Clippers,50000000
Zach LaVine,Kings,47499660
Trae Young,Wizards,46394100
Lauri Markkanen,Jazz,46394100
Donovan Mitchell,Cavaliers,46394100
Cade Cunningham,Pistons,46394100
Evan Mobley,Cavaliers,46394100
Jamal Murray,Nuggets,46394100
Luka Doncic,Lakers,45999660
Pascal Siakam,Pacers,45550512
T. Haliburton,Pacers,45550512
Anthony Edwards,Timberwolves,45550512
Domantas Sabonis,Kings,42336000
OG Anunoby,Knicks,39568966
Zion Williamson,Pelicans,39446090
Ja Morant,Grizzlies,39446090
Darius Garland,Cavaliers,39446090
James Harden,Clippers,39182693
Scottie Barnes,Raptors,38661700
Franz Wagner,Magic,38661700
Michael Porter,Nets,38333050
S. Gilgeous-Alexander,Thunder,38333050
Brandon Ingram,Raptors,38095238
LaMelo Ball,Hornets,37958760
Tyrese Maxey,76ers,37958760
De'Aaron Fox,Spurs,37096620
Bam Adebayo,Heat,37096620
Desmond Bane,Magic,36725670
Kyrie Irving,Mavericks,36566002
Rudy Gobert,Timberwolves,35000000
Jalen Suggs,Magic,35000000
Jaren Jackson Jr,Grizzlies,35000000
Jalen Brunson,Knicks,34944001
Alperen Sengun,Rockets,33944954
Khris Middleton,Wizards,33345679
Jalen Green,Suns,33333333
I. Quickley,Raptors,32500000
Jrue Holiday,Trail Blazers,32400000
Jerami Grant,Trail Blazers,32000001
Jordan Poole,Pelicans,31848215
Tyler Herro,Heat,31000000
Julius Randle,Timberwolves,30864198
Dejounte Murray,Pelicans,30801103
K. Porzingis,Hawks,30731707
CJ McCollum,Hawks,30666666
Jalen Johnson,Hawks,30000000
I. Hartenstein,Thunder,28500000
Andrew Wiggins,Heat,28223215
Derrick White,Celtics,28100000
RJ Barrett,Raptors,27705357
Anfernee Simons,Celtics,27678571
Devin Vassell,Spurs,27000000
Terry Rozier,Heat,26643031
Tobias Harris,Pistons,26634146
John Collins,Clippers,26580000
Draymond Green,Warriors,25892857
Deandre Ayton,Trail Blazers,25550814
Nicolas Claxton,Nets,25352272
Myles Turner,Bucks,25318251
Fred VanVleet,Rockets,25000000
Miles Bridges,Hornets,25000000
Josh Giddey,Bulls,25000000
Trey Murphy,Pelicans,25000000
Mikal Bridges,Knicks,24900000
DeMar DeRozan,Kings,24570000
Jaden McDaniels,Timberwolves,24393104
De'Andre Hunter,Cavaliers,23303571
Aaron Gordon,Nuggets,22841455
Damian Lillard,Bucks,22516603
Jonathan Kuminga,Warriors,22500000
Kyle Kuzma,Bucks,22410605
Dillon Brooks,Suns,22124110
K. Caldwell-Pope,Grizzlies,21621500
Naz Reid,Timberwolves,21551724
Nikola Vucevic,Bulls,21481481
Cameron Johnson,Nuggets,21057065
Norman Powell,Heat,20482758
Jarrett Allen,Cavaliers,20000000
Jakob Poeltl,Raptors,19500000
Josh Hart,Knicks,19472240
Bradley Beal,Suns,19383010
Jusuf Nurkic,Jazz,19375000
Harrison Barnes,Spurs,19000000
Collin Sexton,Hornets,18975000
Malik Monk,Kings,18797619
Santiago Aldama,Grizzlies,18485916
Rui Hachimura,Lakers,18259259
Luguentz Dort,Thunder,18222222
Alex Caruso,Thunder,18102100
Andrew Nembhard,Pacers,18102000
Ivica Zubac,Clippers,18102000
Zach Collins,Bulls,18080496
Patrick Williams,Bulls,18000000
Kevin Huerter,Bulls,17991071
Keldon Johnson,Spurs,17500000
Grayson Allen,Suns,16875000
Duncan Robinson,Pistons,16834692
Klay Thompson,Mavericks,16666667
B. Bogdanovic,Clippers,16020000
Max Strus,Cavaliers,15936452
Terance Mann,Nets,15500000
Paolo Banchero,Magic,15334769
N. Alexander-Walker,Hawks,15161800
Isaiah Stewart,Pistons,15000000
Onyeka Okongwu,Hawks,15000000
Jonathan Isaac,Magic,15000000
Marcus Smart,Wizards,14786855
Daniel Gafford,Mavericks,14386320
Deni Avdija,Trail Blazers,14375000
PJ Washington,Mavericks,14152174
Steven Adams,Rockets,14130434
Damian Lillard,Trail Blazers,14104000
Dennis Schroeder,Kings,14104000
Caris LeVert,Pistons,14104000
